//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;;
$_Languages;;;;
7(5) Allemand (Liechtenstein);10(1) Espagnol (traditionnel);9(1) Anglais (États-Unis);12(1) Français (France);
22938;Help;Help;Help;
6556;Record error;Record error;Record error;
22940;Help;Help;Help;
6558;Control error;Control error;Control error;
22942;Help;Help;Help;
6976;System error A;System error A;System error A;
23360;Help;Help;Help;
6978;System error B;System error B;System error B;
23362;Help;Help;Help;
6980;Error in valve;Error in valve;Error in valve;
23364;Help;Help;Help;
6982;Controller error;Controller error;Controller error;
23366;Help;Help;Help;
7400;Encoder error;Encoder error;Encoder error;
23784;Help;Help;Help;
7402;Error motor or power stage;Error motor or power stage;Error motor or power stage;
23786;Help;Help;Help;
7830;Subsystem module/channel failure;Subsystem module/channel failure;Subsystem module/channel failure;
24214;Help;Help;Help;
9520;Switch unit defective;Switch unit defective;Switch unit defective;
25904;Help;Help;Help;
9522;CBUS asic not ready;CBUS asic not ready;CBUS asic not ready;
25906;Help;Help;Help;
9524;CPU Hardware Trap;CPU Hardware Trap;CPU Hardware Trap;
25908;Help;Help;Help;
9526;CBUS C-manager not ready;CBUS C-manager not ready;CBUS C-manager not ready;
25910;Help;Help;Help;
9944;Watchdog overflow;Watchdog overflow;Watchdog overflow;
26328;Help;Help;Help;
9946;Remanent memory defective;Remanent memory defective;Remanent memory defective;
26330;Help;Help;Help;
9948;Flash system memory defective;Flash system memory defective;Flash system memory defective;
26332;Help;Help;Help;
9950;Number of mod.params.more than 64;Number of mod.params.more than 64;Number of mod.params.more than 64;
26334;Help;Help;Help;
10368;Slave not ready;Slave not ready;Slave not ready;
26752;Help;Help;Help;
10370;CBUS diagnostic telegram;CBUS diagnostic telegram;CBUS diagnostic telegram;
26754;Help;Help;Help;
10372;CBUS init fault (gap);CBUS init fault (gap);CBUS init fault (gap);
26756;Help;Help;Help;
10374;Order queue full;Order queue full;Order queue full;
26758;Help;Help;Help;
10792;CBUS-EEPROM error;CBUS-EEPROM error;CBUS-EEPROM error;
27176;Help;Help;Help;
10794;CBUS C-timeout error;CBUS C-timeout error;CBUS C-timeout error;
27178;Help;Help;Help;
10796;CBUS telegram fault;CBUS telegram fault;CBUS telegram fault;
27180;Help;Help;Help;
10798;BIU access error;BIU access error;BIU access error;
27182;Help;Help;Help;
11216;Licence error;Licence error;Licence error;
27600;Help;Help;Help;
11218;Built-in self test failed;Built-in self test failed;Built-in self test failed;
27602;Help;Help;Help;
11644;NETOS fatal error;NETOS fatal error;NETOS fatal error;
28028;Help;Help;Help;
840;Fault param.transfer module n;Fault param.transfer module n;Fault param.transfer module n;
17224;Help;Help;Help;
842;Invalid field bus address;Invalid field bus address;Invalid field bus address;
17226;Help;Help;Help;
844;Protokoll Asic not ready;Protokoll Asic not ready;Protokoll Asic not ready;
17228;Help;Help;Help;
846;MMI serves CBUS module;MMI serves CBUS module;MMI serves CBUS module;
17230;Help;Help;Help;
1264;Invalid setting switch unit;Invalid setting switch unit;Invalid setting switch unit;
17648;Help;Help;Help;
1266;Module set to default values;Module set to default values;Module set to default values;
17650;Help;Help;Help;
6358;Unknown error (255);Unknown error (255);Unknown error (255);
22742;Help;Help;Help;
11442;CPX critical system error;CPX critical system error;CPX critical system error;
27826;Help;Help;Help;
5368;;;;
21752;;;;
8760;Cortocircuito;Short circuit;Court-circuit;
25144;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
12152;Baja tensión;Low voltage;Sous-tension;
28536;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
15544;Sobretensión;Overvoltage;Surtension;
31928;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
2624;Sobrecarga;Overload;Surcharge;
19008;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
6016;Sobretemperatura;Overtemperature;Surchauffe;
22400;Compruebe los datos técnicos de los componentes conectados.;Check the technical specifications of the connected components.;Contrôlez les caractéristiques techniques des composants liés.;
9408;Rotura de hilo;Wire break;Rupture de fil;
25792;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
12800;Límite superior excedido;High limit exceeded;Limite supérieure dépassée;
29184;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
16192;Límite inferior excedido;Low limit exceeded;Limite inférieure sous-dépassée;
32576;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
3272;Fallo;Error;Erreur;
19656;;;;
6664;Simulación activa;Simulation active;Simulation active;
23048;;;;
10056;Reservado;Reserved;réservé;
26440;;;;
13448;Reservado;Reserved;réservé;
29832;;;;
528;Reservado;Reserved;réservé;
16912;;;;
3920;Reservado;Reserved;réservé;
20304;;;;
7312;Falta el parámetro;Parameter missing;Paramètre manquant;
23696;;;;
10704;Error de parametrización;Parameter assignment error;Erreur de paramétrage;
27088;Causa: Parámetros de módulo incorrectos. Solución: Comprobar parámetros y corregir. Seguidamente cargar de nuevo.;Cause: Bad module parameter. Remedy: Check and correct parameter. Then reload.;Cause : paramètres de module incorrects. Solution : vérifiez et corrigez les paramètres. Rechargez ensuite les paramètres.;
14096;Falta tensión de sensores o de carga;Power supply fault;Absence de tension capteur ou de charge;
30480;Causa: Falta tensión de carga. Solución: Comprobar el cableado o conectar la alimentación eléctrica.;Cause: No power supply. Remedy: Check wiring or turn on power supply.;Cause : absence de tension d'alimentation. Solution : vérifiez le câblage ou branchez l'alimentation.;
1176;Fusible defectuoso;Fuse blown / open;Fusible defectueux;
17560;Causa: Sobrecarga. Solución: Eliminar la causa de la sobrecarga. Seguidamente sustituir el fusible.;Cause: Overload. Remedy: Remove cause of overload. The replace fuse.;Cause : surcharge. Solution : supprimez la cause de la surcharge. Remplacez ensuite le fusible.;
4568;El slot no responde;Slot cannot be addressed;Emplacement non accessible;
20952;Causa: Error de comunicación de diferente origen. Solución: Depende de la causa.;Cause: Communication error with various possible causes. Remedy: Depends on cause.;Cause : erreur de communication à cause multiple. Solution : dépend de la cause.;
7960;Defecto a masa;Ground fault;Défaut à la masse;
24344;Causa: Tensión en modo común rebasada o rotura del cable de masa. Solución: Comprobar el cableado y eliminar el fallo.;Cause: Common mode voltage exceeded or M cable disconnected. Remedy: Check wiring and correct.;Cause : dépassement de la tension mode commun ou rupture du câble M. Solution : vérifiez et corrigez le câblage.;
11352;Error del canal de referencia;Reference point list;Erreur de voie de référence;
27736;Causa: Error en el canal de referencia. Solución: Véase el manual.;Cause: Error on reference channel. Remedy: See manual.;Cause : erreur de voie de référence. Solution : voir le manuel.;
14744;Alarma de proceso perdida;Process event lost / sampling error;Alarme de processus perdue;
31128;Causa: Alarma de proceso. Solución: Cambiar el procesamiento de alarmas de la CPU o cambiar la parametrización del módulo.;Cause: Hardware interrupt. Remedy: Change interrupt handling of the CPU or change parameter assignment of  module.;Cause : alarme de processus. Solution : modifiez le traitement de l'alarme par la CPU ou modifiez le paramétrage du module.;
1824;Advertencia de actuador;Threshold warning;Avertissement actionneur;
18208;Causa: El actuador notifica el rebase de un valor límite. Solución: Comprobar la compatibilidad entre el módulo y el actuador.;Cause: Actuator signaling a limit value violation. Remedy: Check interaction of module and actuator.;Cause : actionneur signale un dépassement d'une valeur limite. Solution : vérifiez la compatibilité du module et de l'actionneur.;
5216;Desconexión de actuador;Output disabled;Coupure actionneur;
21600;Causa: Se ha detectado un problema con el actuador. Solución: Eliminar la causa.;Cause: Problem detected on actuator. Remedy: Find and eliminate cause.;Cause : problème d'actionneur détecté. Solution : supprimez la cause du problème.;
8608;Desconexión orientada a seguridad;Safety event;Arrêt de sécurité;
24992;Causa: Se ha detectado un fallo en el canal. Solución: Comprobar el canal y eliminar el fallo.;Cause: Error detected on channel. Remedy: Check channel and correct problem..;Cause : erreur de voie détectée. Solution : vérifiez la voie et supprimez l'erreur.;
12000;Error externo;External fault;Défaut externe;
28384;Causa: Se ha detectado un fallo en el sensor/actuador. Solución: Sustituir el sensor/actuador o comprobar el cableado.;Cause: Problem detected on sensor/actuator. Remedy: Replace sensor/actuator or check wiring.;Cause : Erreur de capteur/actionneur détectée. Solution : remplacez le capteur/actionneur ou vérifiez le câblage.;
15392;Error no definido;Unidentified error;Défaut non spécifié;
31776;Causa: No se puede especificar con detalle. Solución: Véase el manual.;Cause: Cannot be specified in greater detail. Remedy: See manual.;Cause : ne peut être spécifiée. Solution : voir le manuel.;
2472;Reservado;Reserved;réservé;
18856;;;;
5864;Fallo 1 en actuador / sensor;Fault 1 in actuator/sensor;Erreur 1 dans actionneur / capteur;
22248;;;;
9256;Fallo 2 en actuador / sensor;Fault 2 in actuator/sensor;Erreur 2 dans actionneur / capteur;
25640;;;;
12648;Fallo temporal;Temporary error;Erreur temporaire;
29032;;;;
9184;Transferencia de datos imposible; @5W%t#RF180C-20100329@;Data transmission impossible; @5W%t#RF180C-20100329@;Transmission de données impossible; @5W%t#RF180C-20100329@;
25568;Ayuda: Transferencia de datos imposible; @5W%t#RF180C-20100329@;Help: Data transmission impossible; @5W%t#RF180C-20100329@;Aide : transmission de données impossible; @5W%t#RF180C-20100329@;
10880;No hay conexión física en el puerto;No physical connection on port;Pas de connexion physique au port;
27264;Se ha configurado la vigilancia del puerto, pero no hay conexión física en el mismo.
 Causas posibles:
 - No está enchufado ningún cable
 - Cable defectuoso
 - Cable erróneo en la configuración de puerto
 - Dispositivo partner desconectado;Port monitoring was configured, there is however no physical connection on the port.
 Possible causes:
 - No cable plugged in
 - Cable defective
 - Wrong cable with fixed port settings
 - Partner device turned off;Une surveillance de port a été configurée, mais il n'existe pas de connexion physique au port.
 Causes possibles :
 - pas de câble enfiché
 - câble défectueux
 - câble incorrect pour paramètres de port fixes
 - appareil partenaire désactivé;
10881;Error en "Soporte de transferencia/dúplex";Error with "Transfer medium/duplex";Erreur pour "Support de transmission/Duplex";
27265;"Soporte de transferencia / dúplex" se ha configurado; la configuración de puerto determinada actualmente por autonegociación no concuerda con el estándar.
 Causas posibles:
 - El partner utiliza una configuración de puerto estándar diferente
 - El partner;"Transfer medium / duplex" was configured; the current port setting resulting from autonegotiation does not match the configured setting.
 Possible causes:
 - The partner is operating with a fixed but different port setting
 - The partner does not support ;"Support de transmission / Duplex" a été configuré ; la sélection de port déterminée par Autonegotiation ne correspond pas à la configuration.
 Causes possibles :
 - le partenaire fonctionne avec une présélection fixe de port
 - le partenaire ne prend pas ;
10882;Error al comprobar los datos de línea;Error during cable data check;Erreur à la vérification des données de câble;
27266;Causas posibles:
 - La longitud de línea determinada es superior al valor predeterminado en la configuración.
 - El cableado real no se corresponde con la interconexión de puerto configurada.
 - Los datos de línea no se pueden copmrobar porque el partner n;Possible causes:
 - The discovered cable length is longer than the one configured.
 - The actual cabling does not match the configured port interconnection.
 - The cable data could not be checked because the partner does not support cable length measuremen;Causes possibles :
 - La longueur de câble déterminée dépasse celle configurée
 - Le câblage réel ne correspond pas à la connexion du port configurée.
 - Les données de câble ne peuvent pas être contrôlées, car le partenaire ne prend pas en charge la mesur;
12576;Error en el partner; @5W%t#RF180C-20100329@;Remote mismatch; @5W%t#RF180C-20100329@;Erreur partenaire; @5W%t#RF180C-20100329@;
28960;Ayuda: Error en el partner; @5W%t#RF180C-20100329@;Help: Remote mismatch; @5W%t#RF180C-20100329@;Aide : erreur partenaire; @5W%t#RF180C-20100329@;
14272;Partner incorrecto;Wrong partner;Partenaire incorrect;
30656;Se ha configurado una conexión de puerto, pero en el puerto se ha detectado un partner diferente.
Soluciones:
 - Adaptar el cableado de la conexión de puerto configurada
 - Adoptar el nombre de dispositivo del partner en la conexión de puerto;A port interconnection was configured but a different partner was detected at the port.
Remedies:
 - Adapt the cabling of the configured port interconnection
 - Adopt the device name of the partner in the port interconnection;Une connexion de port a été configurée, un autre partenaire a été déterminé pour le port.
Solutions :
 - modifier le câblage de la connexion de port
 - écrire le nom du partenaire dans la connexion de port;
14273;Puerto partner erróneo;Wrong partner port;Port partenaire incorrect;
30657;Se ha configurado una conexión de puerto, pero en el puerto se ha determinado un puerto partner diferente.

 Soluciones:
 - Adaptar el cableado de la conexión de puerto configurada
 - Adaptar la conexión de puerto en la configuración;A port interconnection was configured but a different partner port was detected at the port.

 Remedy:
 - Adapt the cabling of the configured port interconnection
 - Adapt the port interconnection in the configuration;Une connexion de port a été configurée, un autre port partenaire a été déterminée pour le port.

 Solutions :
 - modifier le câblage de la connexion de port configurée
 - modifier la connexion de port dans la configuration;
14274;IRT (Top Performance) no es posible en este puerto;IRT (top performance) not possible at this port;IRT (Top Performance) impossible sur ce port;
30658;Causas posibles:
 - Otros errores de comunicación en este puerto o en el puerto partner impiden el modo IRT (solución: v. otros diagnósticos y corregirlos primero)
 - El puerto partner no está configurado correctamente para el modo IRT, es decir, la config;Possible causes:
 - Other communications errors on this or on the partner port are preventing IRT (remedy: refer to other diagnostic information, eliminate these problems first)
 - Partner port is not correctly configured for IRT mode, i.e. bad or old conf;Causes possibles :
 - Autres erreurs de communication sur ce port ou sur le port partenaire empêchent IRT (solution : voir autres diagnostics, remédier d'abord à ceux-ci)
 - port partenaire configuré incorrect pour le mode IRT, c-à-d. configuration manquan;
14275;Incoherencia en "Soporte de transferencia / dúplex";Inconsistency in "transmission medium / duplex";Incohérence pour "Support de transmission / Duplex";
30659;Se ha configurado el "Medio de transmisión/dúplex"; el ajuste local del puerto no es compatible con el ajuste del puerto partner.
 Causas posibles:
 - el partner utiliza un ajuste fijo diferente
 - Este puerto tiene conectado un convertidor de medios, hub ;"Transmission medium/duplex" was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The partner is operating with fixed but different port settings
 - Media converter, hub or non PNIO compliant de;"Support de transmission/Duplex" a été configuré ; les options sélectionnées pour le port ne sont pas compatibles avec celles sélectionnées pour le port partenaire.
 Causes possibles :
 - Le partenaire fonctionne avec des options fixes prédéfinies différen;
14276;Incoherencia en la configuración MRP / cableado;Inconsistent MRP configuration / wiring;Incohérence de la configuration MRP / du câblage;
30660;Se ha configurado un dominio MRP, pero la configuración del puerto local no concuerda con la configuración del puerto partner.
 Causas posibles:
 - Los puertos están mal conectados; se ha conectado un puerto en anillo con otro que no es un puerto en anillo;MRP domain was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The ports are incorrectly connected; a ring port was connected to a non-ring port
 - The partner has no or an unsuitable configura;Domaine MRP configuré ; la sélection locale du port ne correspond pas à celle du port partenaire.
 Causes possibles :
 - les ports ne sont pas correctement connectés; un port anneau est connecté à un port non anneau
 - le partenaire n'a pas de configuratio;
14277;Imposible detectar el vecino;The neighbor could not be identified;Le voisin n'a pas pu être détecté;
30661;Se ha configurado una conexión de puerto, en el puerto no se ha detectado exactamente un partner.
 Causas posibles:
 - Este puerto tiene conectado un dispositivo no conforme con PN-IO 
 - La conexión de puerto está configurada pero no hay ningún dispositiv;A port interconnection was configured but a single partner was not detected at the port.
 Possible causes:
 - Non PNIO compliant device connected to this port
 - Port interconnection configured but no device connected or partner device turned off, cable de;Une connexion de port a été configurée, un partenaire précis n'a pas été détecté pour le port.
 Causes possibles :
 - appareil non conforme PN-IO connecté à ce port
 - connexion de port configurée, mais aucun appareil connecté ou appareil partenaire désact;
14278;Incoherencia en la configuración MRRT;Inconsistent MRRT configuration;Incohérence de la configuration MRRT;
30662;Se ha configurado la característica MRRT; el ajuste local del puerto no es compatible con el ajuste del puerto partner.
 Causas posibles:
 - el partner no tiene configuración o su configuración no es apropiada
 - el partner no es compatible con la caracter;The MRRT feature was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The partner has no or an unsuitable configuration
 - The partner does not support the MRRT feature;L'attribut MRRT  a été configuré; les options sélectionnées pour le port ne sont pas compatibles avec celles du port partenaire.
 Causes possibles :
 - Le partenaire n'a pas de configuration ou a une configuration incompatible
 - Le partenaire ne prend pas;
14279;Diferencia al determinar la longitud del cable;Difference in cable length measurement;Différence à la détermination de longueur de câble;
30663;Se ha configurado "Soporte de transferencia / dúplex". Ambos partner han detectado longitudes de cable con una diferencia de @2D%1d@ ns. Causas posibles:
 - Uso del convertidor de medios
 - Dispositivo no conforme con PN IO conectado a este puerto

 Soluci;"Transmission medium / Duplex" was configured. The two partners have cable lengths that differ by @2D%1d@ ns. Possible causes may be:
 - Use of media converter
 - Non PN-IO conform device connected to this port

 Remedy: Adapt configuration and select "Aut;"Support de transmission / Duplex" a été configuré. Les deux partenaires ont déterminé des longueurs de câble différentes de @2D%1d@ ns. Des causes possibles sont :
 - Utilisation du convertisseur de supports de transmission
 - Appareil non conforme à PN-I;
14696;El nombre del dominio Sync se utiliza repetidas veces;Sync domain name used more than once;Nom de domaine Sync utilisé plusieurs fois;
31080;En la subred Ethernet se han configurado dos dominios Sync con el mismo nombre.
Solución: Corregir la configuración
- Separar varios dominios Sync mediante fin de Boundaries del dominio Sync (se trata de una recomendación general para limitar la expansión ;Two sync domains with the same name were configured in the Ethernet subnet.
Remedy: Adapt the configuration
- Separate multiple sync domains with end of the sync domain boundaries (this is a basic recommendation to limit the propagation of the multicast fr;Deux domaines Sync de même nom ont été configurés dans le réseau Ethernet.
Solution : modifier la configuration
- séparer plusieurs domaines Sync par des fins de Boundaries (recommandation de principe pour limiter la propagation des télégrammes Multicastfr;
15968;Error de redundancia de medios; @5W%t#RF180C-20100329@;Media redundancy mismatch; @5W%t#RF180C-20100329@;Erreur de redondance de supports de transmission; @5W%t#RF180C-20100329@;
32352;Ayuda: Redundancia de medios; @5W%t#RF180C-20100329@;Help: Media redundancy mismatch; @5W%t#RF180C-20100329@;Aide : erreur de redondance de supports de transmission; @5W%t#RF180C-20100329@;
1352;El manager de redundancia no puede asumir la función configurada.;Redundancy manager cannot adopt the configured role;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;
17736;Indica que el manager de redundancia asume la función de cliente y que otro manager de redundancia de mayor prioridad se ha hecho cargo de la función de manager y supervisa el anillo.
Solución: configurar la función de cliente en todos los dispositivos que;Indicates that the configured redundancy manager adopts the role of client, another higher-priority redundancy manager has taken over the role of manager and is monitoring the ring.
Remedy: Configure the client role on all devices that are not intended to ;Signifie que le gestionnaire de redondance configuré remplit le rôle de client et qu'un gestionnaire de redondance ayant une plus haute priorité assume le rôle de gestionnaire et surveille l'anneau.
Solution : Configurez pour tous les appareils ne devant p;
1353;Anillo abierto;Ring opened;Anneau ouvert;
17737;Indica que el anillo se ha interrumpido unilateralmente. No se garantiza la redundancia.
Causas posibles:
 - Un cable de unión entre los puertos en anillo está defectuoso.
 Solución: Sustituir el cable de anillo defectuoso;Indicates that the ring has been interrupted. Redundancy is no longer effective.
Possible causes:
 - A connecting cable between ring ports is defective.
 Remedy: Replace defective ring cable;Indique que l'anneau est interrompu unilatéralement. La redondance n'est plus garantie.
Causes possibles :
 - un câble de liaison entre les deux ports anneau est défectueux.
 Solution : remplacer le câble anneau défectueux;
1354;Redundancia RT no garantizada;RT redundancy not effective;Redondance RT plus garantie;
17738;Indica que el anillo para la comunicación RT no está cerrado. Causas posibles:
 - En el anillo se encuentran uno o varios equipos que soportan la redundancia de anillo NRT, pero no la redundancia RT
 - Uno o varios equipos soportan la redundancia RT, pero ;Indicates that the ring is not closed for RT communication. Possible causes:
 - There are one or more stations in the ring that support NRT ring redundancy but not RT redundancy
 - One or more stations support RT redundancy however they were not enabled.
 ;Indique que l'anneau n'est pas fermé pour la communication RT. Causes possibles :
 - une ou plusieurs stations dans l'anneau prennent en charge la redondance NRT mais pas la redondance RT de l'anneau
 - une ou plusieurs stations prennent en charge la redon;
1355;En el anillo se encuentran varios administradores de redundancia;There is more than one redundancy manager in the ring;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;
17739;Indica que en el anillo se encuentran varios dispositivos que asumen la función de manager de redundancia. El estado del anillo es inestable.
Causas posibles:
 En el anillo se encuentra un dispositivo que sólo soporta la función de manager de redundancia j;Indicates that more than one device in the ring adopts the redundancy manager role. The ring status is unstable.
Possible causes:
 There is a device in the ring that only supports the redundancy manager role along with devices with automatic manager/client;Indique que plusieurs appareils assument le rôle de gestionnaire de redondance dans l'anneau. L'état de l'anneau est instable.
Causes possibles :
 au sein de l'anneau se trouve un appareil prenant en charge le rôle de gestionnaire de redondance et des appa;
3048;Pérdida de sincronización; @5W%t#RF180C-20100329@;Sync mismatch; @5W%t#RF180C-20100329@;Perte de synchronisation; @5W%t#RF180C-20100329@;
19432;Ayuda: Pérdida de sincronización; @5W%t#RF180C-20100329@;Help: Sync mismatch; @5W%t#RF180C-20100329@;Aide : perte de synchronisation; @5W%t#RF180C-20100329@;
4744;No se sincroniza el SyncSlave;Sync slave will not be synchronized;L'esclave Sync ne sera pas synchronisé;
21128;El equipo es un SyncSlave y no se sincroniza.
Causas posibles:
 - El SyncMaster no está disponible (solución: conectar el SyncMaster, comprobar el cable)
 - Entre el SyncMaster y este equipo se encuentran dispositivos no aptos para sincronización (solución;The station is a sync slave and it is not synchronized.
Possible causes:
 - The sync master is not available (Remedy: Turn on sync master, check cable)
 - there are devices that are not sync-compliant between the sync master and this station (Remedy: Adapt;La station est un esclave Sync et n'est pas synchronisée.
Causes possibles :
 - le maître Sync n'est pas disponible (solution : activer le maître Sync, contrôler le câble)
 - entre le maître Sync et cette station se trouvent des appareils ne prenant pas en;
4747;Equipo no síncrono;Station not synchronized;Station non synchrone;
21131;La sincronización está fuera del rango de tolerancia; la señal de referencia no es lo suficientemente exacta.
Causas posibles:
 - El equipo se resincroniza; éste es un estado temporal
 - La señal de referencia pierde su precisión necesaria en el tramo de t;Synchronization is outside the range of tolerance; the reference signal is not accurate enough.
Possible causes:
 - Station resynchronizes itself; this is a temporary status
 - The reference signal loses its required accuracy on the transmission path (reme;La synchronisation se trouve hors de la plage de tolérance ; le signal de référence ne possède pas la précision requise.
Causes possibles :
 - la station se synchronise de nouveau; ceci est un état temporaire
 - le signal de référence perd sa précision req;
6440;Error de modo isócrono; @5W%t#RF180C-20100329@;Isochronous mode mismatch; @5W%t#RF180C-20100329@;Erreur de synchronisme d'horloge; @5W%t#RF180C-20100329@;
22824;Ayuda: Error de modo isócrono; @5W%t#RF180C-20100329@;Help: Isochronous mode mismatch; @5W%t#RF180C-20100329@;Aide : erreur de synchronisme d'horloge; @5W%t#RF180C-20100329@;
9832;Error CR multicast; @5W%t#RF180C-20100329@;Multicast CR mismatch; @5W%t#RF180C-20100329@;Erreur Multicast CR; @5W%t#RF180C-20100329@;
26216;Ayuda: Error CR multicast; @5W%t#RF180C-20100329@;Help: Multicast CR mismatch; @5W%t#RF180C-20100329@;Aide : Erreur CR Multicast; @5W%t#RF180C-20100329@;
13224;Reservado; @5W%t#RF180C-20100329@;Reserved; @5W%t#RF180C-20100329@;réservé; @5W%t#RF180C-20100329@;
29608;Ayuda: Ayuda; @5W%t#RF180C-20100329@;Help: Reserved; @5W%t#RF180C-20100329@;Aide : réservée; @5W%t#RF180C-20100329@;
304;Error fibra óptica; @5W%t#RF180C-20100329@;Fiber optics mismatch; @5W%t#RF180C-20100329@;Erreur fibre optique; @5W%t#RF180C-20100329@;
16688;Ayuda: Error fibra óptica; @5W%t#RF180C-20100329@;Help: Fiber optics mismatch; @5W%t#RF180C-20100329@;Aide : erreur fibre optique; @5W%t#RF180C-20100329@;
2000;Reserva de sistema de fibra óptica crítica;FO link power margin critical;Réserve système FO critique;
18384;La reserva de sistema FO se encuentra por debajo del umbral de @2D%1d@ dB
Solución: limpiar o sustituir el cableado FO inmediatamente;The FO link power margin is below the @2D%1d@ dB threshold
Remedy: Clean or replace the FO cabling immediately;La réserve système FO se trouve en -dessous du seuil @2D%1d@ dB 
Solution : nettoyer ou remplacer le câblage FO;
3696;Error de función del componente de red; @5W%t#RF180C-20100329@;Network component function mismatch; @5W%t#RF180C-20100329@;Erreur de fonctionnement du composant réseau; @5W%t#RF180C-20100329@;
20080;Ayuda: Error de función del componente de red; @5W%t#RF180C-20100329@;Help: Network component function mismatch; @5W%t#RF180C-20100329@;Aide : erreur de fonctionnement du composant réseau; @5W%t#RF180C-20100329@;
5392;Debido a sobrecarga se han rechazado paquetes de datos;Data packets discarded due to overload;Paquets de données rejetés pour surcharge;
21776;Como mínimo @2D%1d@ paquetes de datos han sido rechazados por escasez de recursos.
Causas posibles:
 - Elevada reserva de ancho de banda para IRT y carga NRT adicional (solución: reducir la reserva de ancho de banda)
 - Agrupación de pequeñas cargas de com;At least @2D%1d@ data packets were discarded due to a lack of resources.
Possible causes:
 - High bandwidth reservation for IRT and additional NRT load (Remedy: reduce bandwidth reservation)
 - Bundling of small communication load from various sources on o;@2D%1d@ paquets de données au minimum ont été rejetés en raison d'un manque temporaire de ressources.
Causes possibles :
 - réservation de largeur de bande pour IRT et charge supplémentaire NRT (solution : réserver une largeur de bande moins grande)
 - reg;
7088;Error de tiempo; @5W%t#RF180C-20100329@;Time mismatch; @5W%t#RF180C-20100329@;Erreur d'horloge; @5W%t#RF180C-20100329@;
23472;Ayuda: Error de tiempo; @5W%t#RF180C-20100329@;Help: Time mismatch; @5W%t#RF180C-20100329@;Aide : erreur de temporisation; @5W%t#RF180C-20100329@;
6040;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;Configuration incohérente/Spécification du routeur par défaut;
22424;Se ha configurado un gateway predeterminado como mínimo para otro interface. Este gateway es distinto de lo especificado para este interface. 
Atención: en este dispositivo no está claro cuál de los gateways predeterminados configurados se utilizará.;A standard gateway has been configured for at least one additional interface that differs from the one specified.
Caution: For this device it is not clear which of the configured standard gateways will be active.;Un autre routeur par défaut a été configuré pour au moins une autre interface. 
Attention : Il n'est pas possible de dire quel routeur par défaut sera utilisé pour cet appareil !;
6041;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;Configuration incohérente/Spécification du NameOfStation;
22425;Para otra interfaz de este módulo ya se ha configurado/asignado un nombre de dispositivo idéntico al especificado para esta interfaz.;A NameOfStation which is identical to the specification for this interface has already been configured/specified for another interface of this module.;Un NameOfStation a déjà été configuré /attribué pour une autre interface de ce module. Il est identique au nom par défaut de cette interface.;
6042;Configuración/especificación incoherente de la dirección IP;Inconsistent configuration/specification of the IP address;Configuration incohérente/Spécification de l'adresse IP;
22426;Para otra interfaz ya se ha configurado/asignado una dirección IP que se encuentra en la misma subred que la dirección IP de esta interfaz.;An IP address which is in the same subnet as the IP address of this interface has already been configured/assigned for another interface.;Une adresse IP a déjà été configurée/attribuée pour une autre interface. Elle se trouve dans le même sous-réseau que l'adresse IP de cette interface.;
7066;diagnosis RF180C: Error de coneccion con el SLG;Diagnostic RF180C: Connection error to SLG;Diagnose RF180C: Erreur de liaison au SLG;
23450;;;;
7494;diagnosis RF180C: ASM iniciado;Diagnostic RF180C: ASM has started up;Diagnose RF180C: ASM est demarre;
23878;;;;
7912;diagnosis RF180C: Cortocirc. en la conec. del SLG;Diagnostic RF180C: Short circuit to SLG;Diagnose RF180C: Court-circuit sur SLG;
24296;;;;
7915;diagnosis RF180C: Error grave;Diagnostic RF180C: Fatal error;Diagnose RF180C: Erreur bloquante;
24299;;;;
8343;diagnosis RF180C: Error hardware;Diagnostic RF180C: Hardware error;Diagnose RF180C: Defaut materiel;
24727;;;;
0;diagnosis RF180C: Error cargador;Diagnostic RF180C: Loader error;Diagnose RF180C: Erreur du chargeur;
16384;;;;
