//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.,,,,
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel,,,,
$_Languages,,,,
7(5) German (Liechtenstein),10(1) Spanish (Traditional Sort),9(1) English (United States),12(1) French (France),
25704,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
10536,Rotura de hilo,Wire break,Rupture de fil,
26920,Compruebe el estado de las líneas de con,Check the status of the connection lines,Contrôlez l'état des câbles de liaison.,
11752,Límite superior excedido,High limit exceeded,Limite supérieure dépassée,
28136,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
12968,Límite inferior excedido,Low limit exceeded,Limite inférieure sous-dépassée,
29352,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
14184,Fallo,Error,Erreur,
30568,,,,
15400,Simulación activa,Simulation active,Simulation active,
31784,,,,
304,Reservado,Reserved,réservé,
16688,,,,
1520,Reservado,Reserved,réservé,
17904,,,,
2736,Reservado,Reserved,réservé,
19120,,,,
3952,Reservado,Reserved,réservé,
20336,,,,
5168,Falta el parámetro,Parameter missing,Paramètre manquant,
21552,,,,
6384,Error de parametrización,Parameter assignment error,Erreur de paramétrage,
22768,Causa: Parámetros de módulo incorrectos.,Cause: Bad module parameter. Remedy: Che,Cause : paramètres de module incorrects.,
7600,Falta tensión de sensores o de carga,Power supply fault,Absence de tension capteur ou de charge,
23984,Causa: Falta tensión de carga. Solución:,Cause: No power supply. Remedy: Check wi,Cause : absence de tension d'alimentatio,
8816,Fusible defectuoso,Fuse blown / open,Fusible defectueux,
25200,Causa: Sobrecarga. Solución: Eliminar la,Cause: Overload. Remedy: Remove cause of,Cause : surcharge. Solution : supprimez ,
10032,El slot no responde,Slot cannot be addressed,Emplacement non accessible,
26416,Causa: Error de comunicación de diferent,Cause: Communication error with various ,Cause : erreur de communication à cause ,
11248,Defecto a masa,Ground fault,Défaut à la masse,
27632,Causa: Tensión en modo común rebasada o ,Cause: Common mode voltage exceeded or M,Cause : dépassement de la tension mode c,
12464,Error del canal de referencia,Reference point list,Erreur de voie de référence,
28848,Causa: Error en el canal de referencia. ,Cause: Error on reference channel. Remed,Cause : erreur de voie de référence. Sol,
13680,Alarma de proceso perdida,Process event lost / sampling error,Alarme de processus perdue,
30064,Causa: Alarma de proceso. Solución: Camb,Cause: Hardware interrupt. Remedy: Chang,Cause : alarme de processus. Solution : ,
14896,Advertencia de actuador,Threshold warning,Avertissement actionneur,
31280,Causa: El actuador notifica el rebase de,Cause: Actuator signaling a limit value ,Cause : actionneur signale un dépassemen,
16112,Desconexión de actuador,Output disabled,Coupure actionneur,
32496,Causa: Se ha detectado un problema con e,Cause: Problem detected on actuator. Rem,Cause : problème d'actionneur détecté. S,
1016,Desconexión orientada a seguridad,Safety event,Arrêt de sécurité,
17400,Causa: Se ha detectado un fallo en el ca,Cause: Error detected on channel. Remedy,Cause : erreur de voie détectée. Solutio,
2232,Error externo,External fault,Défaut externe,
18616,Causa: Se ha detectado un fallo en el se,Cause: Problem detected on sensor/actuat,Cause : Erreur de capteur/actionneur dét,
3448,Error no definido,Unidentified error,Défaut non spécifié,
19832,Causa: No se puede especificar con detal,Cause: Cannot be specified in greater de,Cause : ne peut être spécifiée. Solution,
4664,Reservado,Reserved,réservé,
21048,,,,
5880,Fallo 1 en actuador / sensor,Fault 1 in actuator/sensor,Erreur 1 dans actionneur / capteur,
22264,,,,
7096,Fallo 2 en actuador / sensor,Fault 2 in actuator/sensor,Erreur 2 dans actionneur / capteur,
23480,,,,
8312,Fallo temporal,Temporary error,Erreur temporaire,
24696,,,,
15816,Mismatch of safety destination address (F_Dest_Add),Mismatch of safety destination address (F_Dest_Add),Mismatch of safety destination address (F_Dest_Add),
32200,Help,Help,Help,
9232,Device specific diagnosis information, see manual,Device specific diagnosis information, see manual,Device specific diagnosis information, see manual,
25616,Help,Help,Help,
4608,Transferencia de datos imposible; @5W%t#ML-V2.25-Festo-CPX-20121203@,Data transmission impossible; @5W%t#ML-V2.25-Festo-CPX-20121203@,Transmission de données impossible; @5W%t#ML-V2.25-Festo-CPX-20121203@,
20992,Ayuda: Transferencia de datos imposible;,Help: Data transmission impossible; @5W%,Aide : transmission de données impossibl,
5216,No hay conexión física en el puerto,No physical connection on port,Pas de connexion physique au port,
21600,Se ha configurado la vigilancia del puer,Port monitoring was configured, there is,Une surveillance de port a été configuré,
5217,Error en "Soporte de transferencia/dúplex",Error with "Transfer medium/duplex",Erreur pour "Support de transmission/Duplex",
21601,"Soporte de transferencia / dúplex" se h,"Transfer medium / duplex" was configure,"Support de transmission / Duplex" a été,
5218,Error al comprobar los datos de línea,Error during cable data check,Erreur à la vérification des données de câble,
21602,Causas posibles:
 - La longitud de línea,Possible causes:
 - The discovered cable,Causes possibles :
 - La longueur de câb,
5824,Error en el partner; @5W%t#ML-V2.25-Festo-CPX-20121203@,Remote mismatch; @5W%t#ML-V2.25-Festo-CPX-20121203@,Erreur partenaire; @5W%t#ML-V2.25-Festo-CPX-20121203@,
22208,Ayuda: Error en el partner; @5W%t#ML-V2.,Help: Remote mismatch; @5W%t#ML-V2.25-Fe,Aide : erreur partenaire; @5W%t#ML-V2.25,
6432,Partner incorrecto,Wrong partner,Partenaire incorrect,
22816,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
6433,Puerto partner erróneo,Wrong partner port,Port partenaire incorrect,
22817,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
6434,IRT (Top Performance) no es posible en este puerto,IRT (top performance) not possible at this port,IRT (Top Performance) impossible sur ce port,
22818,Causas posibles:
 - Otros errores de com,Possible causes:
 - Other communications,Causes possibles :
 - Autres erreurs de ,
6435,Incoherencia en "Soporte de transferencia / dúplex",Inconsistency in "transmission medium / duplex",Incohérence pour "Support de transmission / Duplex",
22819,Se ha configurado el "Medio de transmisi,"Transmission medium/duplex" was configu,"Support de transmission/Duplex" a été c,
6436,Incoherencia en la configuración MRP / cableado,Inconsistent MRP configuration / wiring,Incohérence de la configuration MRP / du câblage,
22820,Se ha configurado un dominio MRP, pero l,MRP domain was configured; the local set,Domaine MRP configuré ; la sélection loc,
6437,Imposible detectar el vecino,The neighbor could not be identified,Le voisin n'a pas pu être détecté,
22821,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
6438,Incoherencia en la configuración MRRT,Inconsistent MRRT configuration,Incohérence de la configuration MRRT,
22822,Se ha configurado la característica MRRT,The MRRT feature was configured; the loc,L'attribut MRRT  a été configuré; les op,
6439,Diferencia al determinar la longitud del cable,Difference in cable length measurement,Différence à la détermination de longueur de câble,
22823,Se ha configurado "Soporte de transferen,"Transmission medium / Duplex" was confi,"Support de transmission / Duplex" a été,
6584,El nombre del dominio Sync se utiliza repetidas veces,Sync domain name used more than once,Nom de domaine Sync utilisé plusieurs fois,
22968,En la subred Ethernet se han configurado,Two sync domains with the same name were,Deux domaines Sync de même nom ont été c,
7040,Error de redundancia de medios; @5W%t#ML-V2.25-Festo-CPX-20121203@,Media redundancy mismatch; @5W%t#ML-V2.25-Festo-CPX-20121203@,Erreur de redondance de supports de transmission; @5W%t#ML-V2.25-Festo-CPX-20121203@,
23424,Ayuda: Redundancia de medios; @5W%t#ML-V,Help: Media redundancy mismatch; @5W%t#M,Aide : erreur de redondance de supports ,
7648,El manager de redundancia no puede asumir la función configurada.,Redundancy manager cannot adopt the configured role,Le gestionnaire de redondance ne peut pas assumer le rôle configuré.,
24032,Indica que el manager de redundancia asu,Indicates that the configured redundancy,Signifie que le gestionnaire de redondan,
7649,Anillo abierto,Ring opened,Anneau ouvert,
24033,Indica que el anillo se ha interrumpido ,Indicates that the ring has been interru,Indique que l'anneau est interrompu unil,
7650,Redundancia RT no garantizada,RT redundancy not effective,Redondance RT plus garantie,
24034,Indica que el anillo para la comunicació,Indicates that the ring is not closed fo,Indique que l'anneau n'est pas fermé pou,
7651,En el anillo se encuentran varios administradores de redundancia,There is more than one redundancy manager in the ring,Il existe plusieurs gestionnaires de redondance au sein de l'anneau,
24035,Indica que en el anillo se encuentran va,Indicates that more than one device in t,Indique que plusieurs appareils assument,
8256,Pérdida de sincronización; @5W%t#ML-V2.25-Festo-CPX-20121203@,Sync mismatch; @5W%t#ML-V2.25-Festo-CPX-20121203@,Perte de synchronisation; @5W%t#ML-V2.25-Festo-CPX-20121203@,
24640,Ayuda: Pérdida de sincronización; @5W%t#,Help: Sync mismatch; @5W%t#ML-V2.25-Fest,Aide : perte de synchronisation; @5W%t#M,
8864,No se sincroniza el SyncSlave,Sync slave will not be synchronized,L'esclave Sync ne sera pas synchronisé,
25248,El equipo es un SyncSlave y no se sincro,The station is a sync slave and it is no,La station est un esclave Sync et n'est ,
8867,Equipo no síncrono,Station not synchronized,Station non synchrone,
25251,La sincronización está fuera del rango d,Synchronization is outside the range of ,La synchronisation se trouve hors de la ,
9472,Error de modo isócrono; @5W%t#ML-V2.25-Festo-CPX-20121203@,Isochronous mode mismatch; @5W%t#ML-V2.25-Festo-CPX-20121203@,Erreur de synchronisme d'horloge; @5W%t#ML-V2.25-Festo-CPX-20121203@,
25856,Ayuda: Error de modo isócrono; @5W%t#ML-,Help: Isochronous mode mismatch; @5W%t#M,Aide : erreur de synchronisme d'horloge;,
10688,Error CR multicast; @5W%t#ML-V2.25-Festo-CPX-20121203@,Multicast CR mismatch; @5W%t#ML-V2.25-Festo-CPX-20121203@,Erreur Multicast CR; @5W%t#ML-V2.25-Festo-CPX-20121203@,
27072,Ayuda: Error CR multicast; @5W%t#ML-V2.2,Help: Multicast CR mismatch; @5W%t#ML-V2,Aide : Erreur CR Multicast; @5W%t#ML-V2.,
11904,Reservado; @5W%t#ML-V2.25-Festo-CPX-20121203@,Reserved; @5W%t#ML-V2.25-Festo-CPX-20121203@,réservé; @5W%t#ML-V2.25-Festo-CPX-20121203@,
28288,Ayuda: Ayuda; @5W%t#ML-V2.25-Festo-CPX-2,Help: Reserved; @5W%t#ML-V2.25-Festo-CPX,Aide : réservée; @5W%t#ML-V2.25-Festo-CP,
13120,Error fibra óptica; @5W%t#ML-V2.25-Festo-CPX-20121203@,Fiber optics mismatch; @5W%t#ML-V2.25-Festo-CPX-20121203@,Erreur fibre optique; @5W%t#ML-V2.25-Festo-CPX-20121203@,
29504,Ayuda: Error fibra óptica; @5W%t#ML-V2.2,Help: Fiber optics mismatch; @5W%t#ML-V2,Aide : erreur fibre optique; @5W%t#ML-V2,
13728,Reserva de sistema de fibra óptica crítica,FO link power margin critical,Réserve système FO critique,
30112,La reserva de sistema FO se encuentra po,The FO link power margin is below the @2,La réserve système FO se trouve en -dess,
14336,Error de función del componente de red; @5W%t#ML-V2.25-Festo-CPX-20121203@,Network component function mismatch; @5W%t#ML-V2.25-Festo-CPX-20121203@,Erreur de fonctionnement du composant réseau; @5W%t#ML-V2.25-Festo-CPX-20121203@,
30720,Ayuda: Error de función del componente d,Help: Network component function mismatc,Aide : erreur de fonctionnement du compo,
14944,Debido a sobrecarga se han rechazado paquetes de datos,Data packets discarded due to overload,Paquets de données rejetés pour surcharge,
31328,Como mínimo @2D%1d@ paquetes de datos ha,At least @2D%1d@ data packets were disca,@2D%1d@ paquets de données au minimum on,
15552,Error de tiempo; @5W%t#ML-V2.25-Festo-CPX-20121203@,Time mismatch; @5W%t#ML-V2.25-Festo-CPX-20121203@,Erreur d'horloge; @5W%t#ML-V2.25-Festo-CPX-20121203@,
31936,Ayuda: Error de tiempo; @5W%t#ML-V2.25-F,Help: Time mismatch; @5W%t#ML-V2.25-Fest,Aide : erreur de temporisation; @5W%t#ML,
4712,Configuración incoherente/especificación del gateway predeterminado,Inconsistent configuration / specification of the standard gateway,Configuration incohérente/Spécification du routeur par défaut,
21096,Se ha configurado un gateway predetermin,A standard gateway has been configured f,Un autre routeur par défaut a été config,
4713,Configuración/especificación incoherente del nombre de dispositivo,Inconsistent configuration/specification of the NameOfStation,Configuration incohérente/Spécification du NameOfStation,
21097,Para otra interfaz de este módulo ya se ,A NameOfStation which is identical to th,Un NameOfStation a déjà été configuré /a,
4714,Configuración/especificación incoherente de la dirección IP,Inconsistent configuration/specification of the IP address,Configuration incohérente/Spécification de l'adresse IP,
21098,Para otra interfaz ya se ha configurado/,An IP address which is in the same subne,Une adresse IP a déjà été configurée/att,
11352,No error,No error,No error,
27736,Help,Help,Help,
11354,General diagnosis,General diagnosis,General diagnosis,
27738,Help,Help,Help,
11356,Short circuit,Short circuit,Short circuit,
27740,Help,Help,Help,
11358,Wire fracture/idling current I/O,Wire fracture/idling current I/O,Wire fracture/idling current I/O,
27742,Help,Help,Help,
11504,Short circuit in actuator supply,Short circuit in actuator supply,Short circuit in actuator supply,
27888,Help,Help,Help,
11506,Undervoltage in power supply,Undervoltage in power supply,Undervoltage in power supply,
27890,Help,Help,Help,
11508,Unknown CBUS error (6),Unknown CBUS error (6),Unknown CBUS error (6),
27892,Help,Help,Help,
11510,Unknown CBUS error (7),Unknown CBUS error (7),Unknown CBUS error (7),
27894,Help,Help,Help,
11656,Unknown CBUS error (8),Unknown CBUS error (8),Unknown CBUS error (8),
28040,Help,Help,Help,
11658,Lower limit exceeded,Lower limit exceeded,Lower limit exceeded,
28042,Help,Help,Help,
11660,Upper limit exceeded,Upper limit exceeded,Upper limit exceeded,
28044,Help,Help,Help,
11662,Short circuit valve,Short circuit valve,Short circuit valve,
28046,Help,Help,Help,
11808,Pilot valve function warning,Pilot valve function warning,Pilot valve function warning,
28192,Help,Help,Help,
11810,Wire fracture (open load),Wire fracture (open load),Wire fracture (open load),
28194,Help,Help,Help,
11812,Condition counter exceeded,Condition counter exceeded,Condition counter exceeded,
28196,Help,Help,Help,
11814,Module/channel failure,Module/channel failure,Module/channel failure,
28198,Help,Help,Help,
11960,Module code incorrect,Module code incorrect,Module code incorrect,
28344,Help,Help,Help,
11962,I/O length incorrect,I/O length incorrect,I/O length incorrect,
28346,Help,Help,Help,
11964,Address range exceeded,Address range exceeded,Address range exceeded,
28348,Help,Help,Help,
11966,Life cycle exceeded,Life cycle exceeded,Life cycle exceeded,
28350,Help,Help,Help,
12112,Fault in parametrizing signal range,Fault in parametrizing signal range,Fault in parametrizing signal range,
28496,Help,Help,Help,
12114,Fault in parametrizing data format,Fault in parametrizing data format,Fault in parametrizing data format,
28498,Help,Help,Help,
12116,Fault in parametrizing linear scaling,Fault in parametrizing linear scaling,Fault in parametrizing linear scaling,
28500,Help,Help,Help,
12118,Fault in filter meas.value,Fault in filter meas.value,Fault in filter meas.value,
28502,Help,Help,Help,
12264,Fault in parametrizing lower limit,Fault in parametrizing lower limit,Fault in parametrizing lower limit,
28648,Help,Help,Help,
12266,Fault in parametrizing upper limit,Fault in parametrizing upper limit,Fault in parametrizing upper limit,
28650,Help,Help,Help,
12268,Fault in actuator supply,Fault in actuator supply,Fault in actuator supply,
28652,Help,Help,Help,
12270,Wrong device type mounted,Wrong device type mounted,Wrong device type mounted,
28654,Help,Help,Help,
12416,Alarm value reached,Alarm value reached,Alarm value reached,
28800,Help,Help,Help,
12418,Fault in parametrizing,Fault in parametrizing,Fault in parametrizing,
28802,Help,Help,Help,
12420,No new output data (slave),No new output data (slave),No new output data (slave),
28804,Help,Help,Help,
12422,No bus connection (slave),No bus connection (slave),No bus connection (slave),
28806,Help,Help,Help,
12568,No STI read access (slave),No STI read access (slave),No STI read access (slave),
28952,Help,Help,Help,
12570,No parameter access (slave),No parameter access (slave),No parameter access (slave),
28954,Help,Help,Help,
12572,CP module lost / fault,CP module lost / fault,CP module lost / fault,
28956,Help,Help,Help,
12574,CP configuration failure,CP configuration failure,CP configuration failure,
28958,Help,Help,Help,
12720,Short circuit CP-line,Short circuit CP-line,Short circuit CP-line,
29104,Help,Help,Help,
12722,Fault in controlling,Fault in controlling,Fault in controlling,
29106,Help,Help,Help,
12724,Missing valve,Missing valve,Missing valve,
29108,Help,Help,Help,
12726,Maintanance required,Maintanance required,Maintanance required,
29110,Help,Help,Help,
12872,Life Guard,Life Guard,Life Guard,
29256,Help,Help,Help,
12874,Heart Beat,Heart Beat,Heart Beat,
29258,Help,Help,Help,
12876,Com Cycle Period (Sync),Com Cycle Period (Sync),Com Cycle Period (Sync),
29260,Help,Help,Help,
12878,CAN Overrun (Objects lost),CAN Overrun (Objects lost),CAN Overrun (Objects lost),
29262,Help,Help,Help,
13024,Invalid PDO received,Invalid PDO received,Invalid PDO received,
29408,Help,Help,Help,
13026,CAN WarnLimit reached,CAN WarnLimit reached,CAN WarnLimit reached,
29410,Help,Help,Help,
13028,CAN recovered from BusOff,CAN recovered from BusOff,CAN recovered from BusOff,
29412,Help,Help,Help,
13030,Bus Power lost,Bus Power lost,Bus Power lost,
29414,Help,Help,Help,
13176,Fault in Calibration,Fault in Calibration,Fault in Calibration,
29560,Help,Help,Help,
13178,Lower drop out signal,Lower drop out signal,Lower drop out signal,
29562,Help,Help,Help,
13180,Upper drop out signal,Upper drop out signal,Upper drop out signal,
29564,Help,Help,Help,
13182,Sensor limit exceeded,Sensor limit exceeded,Sensor limit exceeded,
29566,Help,Help,Help,
13328,Short circuit cold junction comp.,Short circuit cold junction comp.,Short circuit cold junction comp.,
29712,Help,Help,Help,
13330,Open load cold junction comp.,Open load cold junction comp.,Open load cold junction comp.,
29714,Help,Help,Help,
13332,Calibration data incorrect,Calibration data incorrect,Calibration data incorrect,
29716,Help,Help,Help,
13334,Invalid process value,Invalid process value,Invalid process value,
29718,Help,Help,Help,
13480,Short circuit I-Port,Short circuit I-Port,Short circuit I-Port,
29864,Help,Help,Help,
13482,Device missing / failure,Device missing / failure,Device missing / failure,
29866,Help,Help,Help,
13484,I-Port configuration error,I-Port configuration error,I-Port configuration error,
29868,Help,Help,Help,
13486,Input overload,Input overload,Input overload,
29870,Help,Help,Help,
13632,Signal underflow/overflow,Signal underflow/overflow,Signal underflow/overflow,
30016,Help,Help,Help,
13634,Overvoltage in power supply,Overvoltage in power supply,Overvoltage in power supply,
30018,Help,Help,Help,
13636,Overflow in time measurement,Overflow in time measurement,Overflow in time measurement,
30020,Help,Help,Help,
13638,Object failure,Object failure,Object failure,
30022,Help,Help,Help,
13784,Number of Modules incorrect,Number of Modules incorrect,Number of Modules incorrect,
30168,Help,Help,Help,
13786,Mismatch of safety destination address (F_Dest_Add),Mismatch of safety destination address (F_Dest_Add),Mismatch of safety destination address (F_Dest_Add),
30170,Help,Help,Help,
13788,F-Communication fault,F-Communication fault,F-Communication fault,
30172,Help,Help,Help,
13790,F-Communication timeout,F-Communication timeout,F-Communication timeout,
30174,Help,Help,Help,
13936,Leakage current,Leakage current,Leakage current,
30320,Help,Help,Help,
13938,F-Parameter fault,F-Parameter fault,F-Parameter fault,
30322,Help,Help,Help,
13940,CC-L: Station equip.status incorrect,CC-L: Station equip.status incorrect,CC-L: Station equip.status incorrect,
30324,Help,Help,Help,
13942,CC-L: Bus connection lost,CC-L: Bus connection lost,CC-L: Bus connection lost,
30326,Help,Help,Help,
14088,SSI-parity error,SSI-parity error,SSI-parity error,
30472,Help,Help,Help,
14090,limit monitoring,limit monitoring,limit monitoring,
30474,Help,Help,Help,
14092,limit exceeded in measure duty cycle,limit exceeded in measure duty cycle,limit exceeded in measure duty cycle,
30476,Help,Help,Help,
14094,Error without errortext (75),Error without errortext (75),Error without errortext (75),
30478,Help,Help,Help,
14240,Error without errortext (76),Error without errortext (76),Error without errortext (76),
30624,Help,Help,Help,
14242,Error without errortext (77),Error without errortext (77),Error without errortext (77),
30626,Help,Help,Help,
14244,Value out of range,Value out of range,Value out of range,
30628,Help,Help,Help,
14246,Error without errortext (79),Error without errortext (79),Error without errortext (79),
30630,Help,Help,Help,
14392,Function failure,Function failure,Function failure,
30776,Help,Help,Help,
15152,Configuration error,Configuration error,Configuration error,
31536,Help,Help,Help,
15154,Execution error,Execution error,Execution error,
31538,Help,Help,Help,
15156,Record error,Record error,Record error,
31540,Help,Help,Help,
15158,Control error,Control error,Control error,
31542,Help,Help,Help,
15304,System error A,System error A,System error A,
31688,Help,Help,Help,
15306,System error B,System error B,System error B,
31690,Help,Help,Help,
15308,Error in valve,Error in valve,Error in valve,
31692,Help,Help,Help,
15310,Controller error,Controller error,Controller error,
31694,Help,Help,Help,
15456,Encoder error,Encoder error,Encoder error,
31840,Help,Help,Help,
15458,Error motor or power stage,Error motor or power stage,Error motor or power stage,
31842,Help,Help,Help,
15460,Error without errortext (110),Error without errortext (110),Error without errortext (110),
31844,Help,Help,Help,
15462,Error without errortext (111),Error without errortext (111),Error without errortext (111),
31846,Help,Help,Help,
15608,Error without errortext (112),Error without errortext (112),Error without errortext (112),
31992,Help,Help,Help,
15610,Error without errortext (113),Error without errortext (113),Error without errortext (113),
31994,Help,Help,Help,
15612,Error without errortext (114),Error without errortext (114),Error without errortext (114),
31996,Help,Help,Help,
15614,Subsystem module/channel failure,Subsystem module/channel failure,Subsystem module/channel failure,
31998,Help,Help,Help,
15760,Error without errortext (116),Error without errortext (116),Error without errortext (116),
32144,Help,Help,Help,
15762,Error without errortext (117),Error without errortext (117),Error without errortext (117),
32146,Help,Help,Help,
15764,Error without errortext (118),Error without errortext (118),Error without errortext (118),
32148,Help,Help,Help,
15766,Error without errortext (119),Error without errortext (119),Error without errortext (119),
32150,Help,Help,Help,
15912,Error without errortext (120),Error without errortext (120),Error without errortext (120),
32296,Help,Help,Help,
15914,Error without errortext (121),Error without errortext (121),Error without errortext (121),
32298,Help,Help,Help,
15916,Error without errortext (122),Error without errortext (122),Error without errortext (122),
32300,Help,Help,Help,
15918,Error without errortext (123),Error without errortext (123),Error without errortext (123),
32302,Help,Help,Help,
16064,Error without errortext (124),Error without errortext (124),Error without errortext (124),
32448,Help,Help,Help,
16066,Error without errortext (125),Error without errortext (125),Error without errortext (125),
32450,Help,Help,Help,
16068,Error without errortext (126),Error without errortext (126),Error without errortext (126),
32452,Help,Help,Help,
16070,Error without errortext (127),Error without errortext (127),Error without errortext (127),
32454,Help,Help,Help,
16216,Switch unit defective,Switch unit defective,Switch unit defective,
32600,Help,Help,Help,
16218,CBUS asic not ready,CBUS asic not ready,CBUS asic not ready,
32602,Help,Help,Help,
16220,CPU Hardware Trap,CPU Hardware Trap,CPU Hardware Trap,
32604,Help,Help,Help,
16222,CBUS C-manager not ready,CBUS C-manager not ready,CBUS C-manager not ready,
32606,Help,Help,Help,
56,Watchdog overflow,Watchdog overflow,Watchdog overflow,
16440,Help,Help,Help,
58,Remanent memory defective,Remanent memory defective,Remanent memory defective,
16442,Help,Help,Help,
60,Flash system memory defective,Flash system memory defective,Flash system memory defective,
16444,Help,Help,Help,
62,Number of mod.params.more than 64,Number of mod.params.more than 64,Number of mod.params.more than 64,
16446,Help,Help,Help,
208,Slave not ready,Slave not ready,Slave not ready,
16592,Help,Help,Help,
210,CBUS diagnostic telegram,CBUS diagnostic telegram,CBUS diagnostic telegram,
16594,Help,Help,Help,
212,CBUS init fault (gap),CBUS init fault (gap),CBUS init fault (gap),
16596,Help,Help,Help,
214,Order queue full,Order queue full,Order queue full,
16598,Help,Help,Help,
360,CBUS-EEPROM error,CBUS-EEPROM error,CBUS-EEPROM error,
16744,Help,Help,Help,
362,CBUS C-timeout error,CBUS C-timeout error,CBUS C-timeout error,
16746,Help,Help,Help,
364,CBUS telegram fault,CBUS telegram fault,CBUS telegram fault,
16748,Help,Help,Help,
366,BIU access error,BIU access error,BIU access error,
16750,Help,Help,Help,
512,Licence error,Licence error,Licence error,
16896,Help,Help,Help,
514,Built-in self test failed,Built-in self test failed,Built-in self test failed,
16898,Help,Help,Help,
516,Error without errortext (146),Error without errortext (146),Error without errortext (146),
16900,Help,Help,Help,
518,Error without errortext (147),Error without errortext (147),Error without errortext (147),
16902,Help,Help,Help,
664,Error without errortext (148),Error without errortext (148),Error without errortext (148),
17048,Help,Help,Help,
666,Error without errortext (149),Error without errortext (149),Error without errortext (149),
17050,Help,Help,Help,
668,NETOS fatal error,NETOS fatal error,NETOS fatal error,
17052,Help,Help,Help,
670,Error without errortext (151),Error without errortext (151),Error without errortext (151),
17054,Help,Help,Help,
816,Error without errortext (152),Error without errortext (152),Error without errortext (152),
17200,Help,Help,Help,
818,Error without errortext (153),Error without errortext (153),Error without errortext (153),
17202,Help,Help,Help,
820,Error without errortext (154),Error without errortext (154),Error without errortext (154),
17204,Help,Help,Help,
822,Error without errortext (155),Error without errortext (155),Error without errortext (155),
17206,Help,Help,Help,
968,Error without errortext (156),Error without errortext (156),Error without errortext (156),
17352,Help,Help,Help,
970,Error without errortext (157),Error without errortext (157),Error without errortext (157),
17354,Help,Help,Help,
972,Error without errortext (158),Error without errortext (158),Error without errortext (158),
17356,Help,Help,Help,
974,Error without errortext (159),Error without errortext (159),Error without errortext (159),
17358,Help,Help,Help,
1120,Error without errortext (160),Error without errortext (160),Error without errortext (160),
17504,Help,Help,Help,
1122,Error without errortext (161),Error without errortext (161),Error without errortext (161),
17506,Help,Help,Help,
1124,Error without errortext (162),Error without errortext (162),Error without errortext (162),
17508,Help,Help,Help,
1126,Error without errortext (163),Error without errortext (163),Error without errortext (163),
17510,Help,Help,Help,
1272,Error without errortext (164),Error without errortext (164),Error without errortext (164),
17656,Help,Help,Help,
1274,Error without errortext (165),Error without errortext (165),Error without errortext (165),
17658,Help,Help,Help,
1276,Error without errortext (166),Error without errortext (166),Error without errortext (166),
17660,Help,Help,Help,
1278,Error without errortext (167),Error without errortext (167),Error without errortext (167),
17662,Help,Help,Help,
1424,Error without errortext (168),Error without errortext (168),Error without errortext (168),
17808,Help,Help,Help,
1426,Error without errortext (169),Error without errortext (169),Error without errortext (169),
17810,Help,Help,Help,
1428,Error without errortext (170),Error without errortext (170),Error without errortext (170),
17812,Help,Help,Help,
1430,Error without errortext (171),Error without errortext (171),Error without errortext (171),
17814,Help,Help,Help,
1576,Error without errortext (172),Error without errortext (172),Error without errortext (172),
17960,Help,Help,Help,
1578,Error without errortext (173),Error without errortext (173),Error without errortext (173),
17962,Help,Help,Help,
1580,Error without errortext (174),Error without errortext (174),Error without errortext (174),
17964,Help,Help,Help,
1582,Error without errortext (175),Error without errortext (175),Error without errortext (175),
17966,Help,Help,Help,
1728,Error without errortext (176),Error without errortext (176),Error without errortext (176),
18112,Help,Help,Help,
1730,Error without errortext (177),Error without errortext (177),Error without errortext (177),
18114,Help,Help,Help,
1732,Error without errortext (178),Error without errortext (178),Error without errortext (178),
18116,Help,Help,Help,
1734,Error without errortext (179),Error without errortext (179),Error without errortext (179),
18118,Help,Help,Help,
1880,Error without errortext (180),Error without errortext (180),Error without errortext (180),
18264,Help,Help,Help,
1882,Error without errortext (181),Error without errortext (181),Error without errortext (181),
18266,Help,Help,Help,
1884,Error without errortext (182),Error without errortext (182),Error without errortext (182),
18268,Help,Help,Help,
1886,Error without errortext (183),Error without errortext (183),Error without errortext (183),
18270,Help,Help,Help,
2032,Error without errortext (184),Error without errortext (184),Error without errortext (184),
18416,Help,Help,Help,
2034,Error without errortext (185),Error without errortext (185),Error without errortext (185),
18418,Help,Help,Help,
2036,Error without errortext (186),Error without errortext (186),Error without errortext (186),
18420,Help,Help,Help,
2038,Error without errortext (187),Error without errortext (187),Error without errortext (187),
18422,Help,Help,Help,
2184,Error without errortext (188),Error without errortext (188),Error without errortext (188),
18568,Help,Help,Help,
2186,Error without errortext (189),Error without errortext (189),Error without errortext (189),
18570,Help,Help,Help,
2188,Error without errortext (190),Error without errortext (190),Error without errortext (190),
18572,Help,Help,Help,
2190,Error without errortext (191),Error without errortext (191),Error without errortext (191),
18574,Help,Help,Help,
2336,Error without errortext (192),Error without errortext (192),Error without errortext (192),
